addr,content,referencing_funcs
38e6,"[SS_SWC] cal_startup_fault_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ","000af112"
66ea,"[SBAT] NVM F0F3 status: %d",""
35ee,"[SS_SWC] cal_veh_initiated_local_infotainment_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ","0005bd1a;00086ae4"
7fee,"[J6_CDD] Failed to read to LngSelSignal from EEPROM - Error Status is = %d",""
a0ee,"[INT_DID] DIDF198 NvM ReadError Status:%d",""
3af6,"[SS_SWC] cal_update_available_local_infotainment_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ",""
12cf6,"[SS_LOG] Persistent data checksum is invalid: %02X",""
32fa,"[SS_SWC] cal_local_infotainment_cancel_mode (%d) read eeprom error !, Reinstating the default value (%d) ",""
41fa,"[SS_SWC] cal_powermode_failure_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ",""
3cfe,"[SS_SWC] cal_rsi_animation_ignore (%d) read eeprom error !, Reinstating the default value (%d) ",""
60fe,"[CAL] EEPROM Write Failure for CalGroup-%d",""
